Product Name,Category,SKU,Unit Price,Make,Details,Availability,Rating,Resolution,Print Speed (ppm),Weight (kg),Color,Material,Price (USD),Brand,RAM Size,Storage Capacity,Screen Inches,Build Material,Vendor,Manufacturer,Dimensions,Width,Height,Length,Screen Resolution,kWatt
"Sony Bravia 55""",LED Televisions,EN_SKU_1_0,1200,Sony,Smart TV with vivid display,In Stock,4.7,1080p,,15.5,Black,Plastic/Metal,1200,Sony,,,,Plastic/Metal,Sony,Sony,1230x710x58,1230,710,58,3840x2160,
LG OLED65,OLED Televisions,EN_SKU_1_1,2500,LG,Stunning OLED display,Low Stock,4.9,8K,,18.2,Black,Glass/Aluminum,2500,LG,,,,Glass/Aluminum,LG,LG,1449x830x46,1449,830,46,3840x2160,
HP LaserJet M404,Laser Printers,EN_SKU_9_0,350,HP,High-speed monochrome laser printer,In Stock,4.5,,35 ppm,9.8,White,Plastic,350,HP,,,,Plastic,HP,HP,400x300x200,400,300,200,1200x1200,0.5 kW
Ashley Sofa Set,Living Room Furniture,EN_SKU_4_1,749.5,Ashley Furniture,Comfortable and stylish,In Stock,4.6,,,65,Gray,Fabric,749.5,Ashley Furniture,,,,Fabric,Ashley Furniture,Ashley Furniture,2400x1600x900,2400,1600,900,,
IKEA Malm Bed,Bedroom Furniture,EN_SKU_4_0,199,IKEA,Modern minimalist design,In Stock,4.2,,,45,Wood,Wood,199,IKEA,,,,Wood,IKEA,IKEA,2000x1600x300,2000,1600,300,,
Daikin Split AC,Air Conditioning Units,EN_SKU_8_0,680,Daikin,Energy-efficient cooling,In Stock,4.8,,,20.9,White,Plastic,680,Daikin,,,,Plastic,Daikin,Daikin,770x280x225,770,280,225,,20 W
Drill DeWalt XR Cordless,Cordless Drills,S3-DR01,210,DeWalt,Powerful and versatile,In Stock,4.7,,,2.8,Yellow,Plastic/Metal,210,DeWalt,,,,Plastic/Metal,DeWalt,DeWalt,210x85x260,210,85,260,,0.08 kW
Drill Black & Decker 20V,Electric Drills,S3-DR02,65,Black & Decker,Compact and easy to use,In Stock,4.3,,,1.8,Orange,Plastic,65,Black & Decker,,,,Plastic,Black & Decker,Black & Decker,180x60x220,180,60,220,,0.08 kW
XZ,Miscellaneous,S3-DR052,15,Generic,Miscellaneous item,Out of Stock,3,,,0.5,,,15,Generic,,,,,Generic,Generic,,,,,,
"TCL Roku 43""",Smart Televisions,S2-TV02,320,TCL,Smart TV with Roku OS,In Stock,4.4,1080p,,8,Black,Plastic,320,TCL,,,,Plastic,TCL,TCL,970x567x80,970,567,80,1920x1080,0.06 kW
Dell XPS 13,Portable Computers,EN_SKU_3_2,1300,Dell,Ultraportable laptop,In Stock,4.8,FHD,,1.2,Silver,Aluminum,1300,Dell,,,,Aluminum,Dell,Dell,296x199x15,296,199,15,1920x1200,0.06 kW
Samsung QLED 4K,QLED Displays,EN_SKU_1_2,1500,Samsung,Vibrant QLED display,In Stock,4.7,4K,,16,Black,Metal,1500,Samsung,,,,Metal,Samsung,Samsung,1450x830x60,1450,830,60,3840x2160,0.06 kW
Screwdriver Set,Tool Kits,sadsa,25,Craftsman,Essential for home repairs,In Stock,4,,,0.8,Red/Black,Steel/Rubber,25,Craftsman,,,,Steel/Rubber,Craftsman,Craftsman,200x100x40,200,100,40,3840x2161,1.06 kW
Coffee Grinder,Kitchen Appliances,4515,45,Krups,Electric coffee bean grinder,In Stock,4.1,,,1,Silver,Stainless Steel,45,Krups,,,,Stainless Steel,Krups,Krups,,,,,,
Smartwatch XYZ,Wearable Electronics,544,199.99,XYZ Tech,Fitness tracking and notifications,In Stock,4.6,,,0.1,Black,Silicone,199.99,XYZ Tech,,,,Silicone,XYZ Tech,XYZ Tech,,,,,,
Yoga Mat,Sports Equipment,4444,30,Gaiam,Non-slip surface,In Stock,4.2,,,1.2,Blue,Rubber,30,Gaiam,,,,Rubber,Gaiam,Gaiam,,,,,,
Car Wax,Automotive Accessories,444,18,Turtle Wax,High-shine car protection,In Stock,4.5,,,0.4,,Liquid,18,Turtle Wax,,,,Liquid,Turtle Wax,Turtle Wax,,,,,,
Face Cream,Cosmetics,444,55,La Mer,Anti-aging moisturizer,In Stock,4.8,,,0.1,White,Cream,55,La Mer,,,,Cream,La Mer,La Mer,,,,,,
Building Blocks,Children's Toys,x11,40,LEGO,Creative construction set,In Stock,4.7,,,1.5,Multi-color,Plastic,40,LEGO,,,,Plastic,LEGO,LEGO,,,,,,
Organic Coffee Beans,Food & Beverages,A151,15.99,Starbucks,Fair trade dark roast,In Stock,4.6,,,0.5,,Beans,15.99,Starbucks,,,,Beans,Starbucks,Starbucks,,,,,,
